English,Portuguese
shook,tremeu
fact,fato
wrong,errado
gone,perdido
far,distante
hit,bater
finger,dedo
quite,bastante
hate,odiar
meet,encontrar
finish,terminar
heart,coração
book,livro
past,passado
kill,matar
reason,razão
anyone,qualquer um
figure,figura
top,principal
along,junto
world,mundo
she'd,cabana
high,alto
shirt,camisa
does,faz
today,hoje
young,jovem
held,mantido
outside,fora
listen,ouvir
whisper,sussurrar
won't,não vai
happy,feliz
ground,chão
deep,profundo
drop,derrubar
shrug,encolher os ombros
dress,vestir
fell,caiu
there's,há
yell,gritar
breath,respiração
air,ar
tear,rasgar
sister,irmã
chair,cadeira
kitchen,cozinha
matter,matéria
hurt,ferir
fall,cair
wear,vestir
isn't,não é
woman,mulher
eat,comer
lie,mentira
hell,inferno
suppose,suponha
cover,cobrir
couple,casal
large,grande
either,qualquer
five,cinco
leg,perna
jump,pular
die,morrer
return,retornar
able,capaz
bag,bolsa
alone,sozinho
shut,fechar
stuff,coisa
short,curto
ready,preparar
understand,entender
kept,mantido
plan,plano
raise,elevação
street,rua
different,diferente
problem,problema
break,quebrar
line,linha
early,cedo
cut,corte
cold,frio
paper,papel
scream,gritar
instead,em vez de
stupid,estúpido
silence,silêncio
tree,árvore
caught,capturado
ear,orelha
food,comida
full,completo
four,quatro
cause,causa
fuck,Porra
explain,explicar
expect,esperar
fight,lutar
exactly,exatamente
sort,organizar
completely,completamente
men,homens
dance,dança
met,conheci
story,história
whatever,qualquer que seja
build,construir
speak,falar
glass,vidro
pain,dor
check,verificar
glare,brilho
corner,canto
Mrs.,Sra.
chest,peito
hot,quente
rather,em vez de
month,mês
real,real
touch,tocar
park,parque
bring,trazer
they're,eles são
drink,bebida
ago,atrás
force,vigor
you've,você tem
fast,rápido
lost,perdido
attention,atenção
wish,desejar
mark,marca
wave,aceno
shout,gritar
fill,preencher
begin,começar
baby,bebê
interest,interesse
money,dinheiro
fun,diversão
green,verde
however,no entanto
cheek,bochecha
mine,meu
clear,claro
brown,marrom
forward,avançar
near,aproximar
picture,foto
may,poderia
cool,legal
drive,dirigir
hug,abraço
shake,sacudir
sense,senso
alright,tudo bem
you'll,você vai
dream,sonhar
hang,pendurar
clothes,roupas
act,agir
become,tornar-se
manage,gerenciar
meant,significou
game,jogo
ignore,ignorar
stair,escada
taken,levado
party,festa
add,adicionar
sometimes,às vezes
job,trabalho
ten,dez
shot,tomada
date,data
quiet,quieto
gaze,olhar
group,grupo
loud,alto
straight,direto
dead,morto
neck,pescoço
beside,ao lado
pause,pausa
number,número
conversation,conversa
chance,chance
we'll,bem
rose,rosa
quietly,silenciosamente
town,cidade
blood,sangue
color,cor
desk,mesa
dinner,jantar
hall,salão
horse,cavalo
music,música
brought,trouxe
piece,pedaço
anymore,não mais
beautiful,lindo
order,ordem
fire,fogo
office,escritório
TRUE,verdadeiro
although,embora
warm,esquentar
easy,fácil
enter,digitar
perfect,perfeito
mutter,murmurar
softly,suavemente
cross,cruzar
shock,choque
smirk,sorria
damn,droga
soft,macio
stomach,estômago
snap,foto
spoke,falou
tire,pneu
box,caixa
catch,pegar
skin,pele
teacher,professor
middle,meio
note,observação
yourself,você mesmo
haven't,não tenho
lunch,almoço
tomorrow,amanhã
breathe,respirar
clean,limpar
except,exceto
appear,aparecer
lock,trancar
knock,bater
bathroom,banheiro
movie,filme
agree,concordar
offer,oferecer
kick,chute
form,forma
confuse,confundir
lay,deitar
less,menos
calm,calma
slip,escorregar
weren't,não eram
sign,sinal
dog,cachorro
lift,elevador
immediately,imediatamente
arrive,chegar
deal,negócio
tonight,essa noite
usually,geralmente
case,caso
frown,carranca
shop,comprar
scare,susto
promise,promessa
mum,mãe
couch,sofá
pay,pagar
state,estado
shit,merda
wrap,enrolar
pocket,bolso
hello,olá
free,livre
huge,enorme
ride,andar de
brother,irmão
land,terra
known,conhecido
especially,especialmente
expression,expressão
carry,carregar
ring,anel
